Handle,Title,Body (HTML),Vendor,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Standard Product Type,Custom Product Type
icons-of-the-realm-monster-menagerie-i,Icons of the Realm: Monster Menagerie I,,ACD Distribution,,FALSE,Title,Default ,,,,,WZK72288,0,shopify ,16,deny,manual,16,,TRUE,TRUE,634482722879,,,,,,,,,,,,,,,,,,,,,,,9.84,active,,
enhance-dice-case-and-tray,Enhance Dice Case and Tray,,Accessory Power,,FALSE,Title,Default ,,,,,,0,shopify ,0,deny,manual,38,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,16.95,active,,
bicycle-jumbo-index,Bicycle Jumbo Index,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD JKR1004560,0,shopify ,4,deny,manual,4,,TRUE,TRUE,73854000885,,,,,,,,,,,,,,,,,,,,,,,2.11,active,,
bicycle-standard-index,Bicycle Standard Index,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD JKR1001512,0,shopify ,6,deny,manual,4,,TRUE,TRUE,73854008089,,,,,,,,,,,,,,,,,,,,,,,2.11,active,,
bicycle-stargazer,Bicycle Stargazer,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD JKR1034630,0,shopify ,0,deny,manual,6,,TRUE,TRUE,7385402318,,,,,,,,,,,,,,,,,,,,,,,3.17,active,,
pokemon-battle-arena-rayquaza-v-keldeo,Pokemon Battle Arena: Rayquaza v Keldeo,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD PKU80168,0,shopify ,1,deny,manual,30,,TRUE,TRUE,820650801686,,,,,,,,,,,,,,,,,,,,,,,17.99,active,,
pokemon-battle-styles-booster-pack,Pokemon Battle Styles Booster Pack,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD PKU81818,0,shopify ,15,deny,manual,5,,TRUE,TRUE,820650808180,,,,,,,,,,,,,,,,,,,,,,,2.39,active,,
pokemon-sm-trainer-kit,Pokemon S&M Trainer Kit,,ACD Distribution,,FALSE,Title,Default ,,,,,820650802102,0,shopify ,10,deny,manual,10,,TRUE,TRUE,820650802102,,,,,,,,,,,,,,,,,,,,,,,4.49,active,,
tarot-cthulhus-vault-deck,Tarot: Cthulhu's Vault Deck,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD UPE85681,0,shopify ,0,deny,manual,20,,TRUE,TRUE,74427856816,,,,,,,,,,,,,,,,,,,,,,,10.6,active,,
tarot-familiars,Tarot: Familiars,,ACD Distribution,,FALSE,Title,Default ,,,,,ACD JKR1037134,0,shopify ,1,deny,manual,20,,TRUE,TRUE,8420707451387,,,,,,,,,,,,,,,,,,,,,,,10.59,active,,
